date,open,high,low,close,volume,Ticket
1986-03-13,0.0672,0.07533,0.0672,0.07533,1371330506,msft
1986-03-14,0.07533,0.07533,0.07533,0.07533,409569463,msft
1986-03-17,0.07533,0.07533,0.07533,0.07533,176995245,msft
1986-03-18,0.07533,0.07533,0.07533,0.07533,90067008,msft
1986-03-19,0.07533,0.07533,0.07533,0.07533,63655515,msft
1986-03-20,0.07533,0.07533,0.0672,0.07533,77665088,msft
1986-03-21,0.07533,0.07533,0.0672,0.0672,79732075,msft
1986-03-24,0.0672,0.0672,0.0672,0.0672,86775144,msft
1986-03-25,0.0672,0.0672,0.0672,0.0672,42641156,msft
1986-03-26,0.0672,0.07533,0.0672,0.0672,30239240,msft
1986-03-27,0.0672,0.07533,0.0672,0.07533,22392348,msft
1986-03-31,0.07533,0.07533,0.0672,0.07533,17110053,msft
1986-04-01,0.07533,0.07533,0.0672,0.0672,14736846,msft
1986-04-02,0.0672,0.07533,0.0672,0.07533,35904313,msft
1986-04-03,0.07533,0.07533,0.07533,0.07533,30622016,msft
1986-04-04,0.07533,0.07533,0.07533,0.07533,35330154,msft
1986-04-07,0.07533,0.07533,0.0672,0.0672,22009574,msft
1986-04-08,0.0672,0.07533,0.0672,0.07533,13626799,msft
1986-04-09,0.07533,0.07533,0.07533,0.07533,16153115,msft
1986-04-10,0.07533,0.07533,0.07533,0.07533,18449763,msft
1986-04-11,0.07533,0.07533,0.07533,0.07533,22889957,msft
1986-04-14,0.07533,0.07533,0.07533,0.07533,16153115,msft
1986-04-15,0.07533,0.07533,0.07533,0.07533,12363640,msft
1986-04-16,0.07533,0.07533,0.07533,0.07533,42411493,msft
1986-04-17,0.07533,0.07533,0.07533,0.07533,29244027,msft
1986-04-18,0.07533,0.07533,0.07533,0.07533,28746419,msft
1986-04-21,0.07533,0.07533,0.07533,0.07533,30468906,msft
1986-04-22,0.07533,0.07533,0.07533,0.07533,20669858,msft
1986-04-23,0.07533,0.07533,0.07533,0.07533,20746419,msft
1986-04-24,0.07533,0.08389,0.07533,0.08389,82870827,msft
1986-04-25,0.08389,0.09222,0.08389,0.09222,114028729,msft
1986-04-28,0.09222,0.09222,0.08389,0.09222,38392349,msft
1986-04-29,0.09222,0.09222,0.08389,0.08389,40306228,msft
1986-04-30,0.08389,0.08389,0.08389,0.08389,41071780,msft
1986-05-01,0.08389,0.08389,0.08389,0.08389,72229681,msft
1986-05-02,0.08389,0.08389,0.08389,0.08389,26909095,msft
1986-05-05,0.08389,0.08389,0.08389,0.08389,4325363,msft
1986-05-06,0.08389,0.08389,0.08389,0.08389,12937801,msft
1986-05-07,0.08389,0.08389,0.08389,0.08389,6851673,msft
1986-05-08,0.08389,0.08389,0.08389,0.08389,4708137,msft
1986-05-09,0.08389,0.08389,0.08389,0.08389,8076558,msft
1986-05-12,0.08389,0.08389,0.08389,0.08389,13933018,msft
1986-05-13,0.08389,0.08389,0.08389,0.08389,5090912,msft
1986-05-14,0.08389,0.08389,0.08389,0.08389,12363640,msft
1986-05-15,0.08389,0.08389,0.08389,0.08389,5052632,msft
1986-05-16,0.08389,0.08389,0.08389,0.08389,15885170,msft
1986-05-19,0.08389,0.08389,0.08389,0.08389,14622014,msft
1986-05-20,0.08389,0.08389,0.08389,0.08389,82373224,msft
1986-05-21,0.08389,0.08389,0.08389,0.08389,10755986,msft
1986-05-22,0.08389,0.08389,0.08389,0.08389,5856460,msft
1986-05-23,0.08389,0.08389,0.08389,0.08389,5435406,msft
1986-05-27,0.08389,0.08389,0.08389,0.08389,18449763,msft
1986-05-28,0.08389,0.08389,0.08389,0.08389,20631587,msft
1986-05-29,0.08389,0.09222,0.08389,0.09222,60708149,msft
1986-05-30,0.09222,0.09222,0.09222,0.09222,35980865,msft
1986-06-02,0.09222,0.09222,0.09222,0.09222,26220103,msft
1986-06-03,0.09222,0.09222,0.08389,0.09222,6660289,msft
1986-06-04,0.09222,0.09222,0.08389,0.09222,6277515,msft
1986-06-05,0.09222,0.09222,0.08389,0.09222,18220101,msft
1986-06-06,0.09222,0.09222,0.09222,0.09222,4555023,msft
1986-06-09,0.09222,0.09222,0.08389,0.08389,16842108,msft
1986-06-10,0.08389,0.08389,0.08389,0.08389,4555023,msft
1986-06-11,0.08389,0.08389,0.08389,0.08389,3062201,msft
1986-06-12,0.08389,0.08389,0.08389,0.08389,18220101,msft
1986-06-13,0.08389,0.08389,0.08389,0.08389,10488039,msft
1986-06-16,0.08389,0.08389,0.08389,0.08389,12746415,msft
1986-06-17,0.08389,0.08389,0.08389,0.08389,17377992,msft
1986-06-18,0.08389,0.08389,0.08389,0.08389,5779907,msft
1986-06-19,0.08389,0.08389,0.08389,0.08389,11253591,msft
1986-06-20,0.08389,0.08389,0.08389,0.08389,5052632,msft
1986-06-23,0.08389,0.08389,0.08389,0.08389,61397144,msft
1986-06-24,0.08389,0.08389,0.08389,0.08389,19368424,msft
1986-06-25,0.08389,0.08389,0.08389,0.08389,20248809,msft
1986-06-26,0.08389,0.08389,0.07533,0.07533,25454552,msft
1986-06-27,0.07533,0.07533,0.07533,0.07533,13818186,msft
1986-06-30,0.07533,0.08389,0.07533,0.08389,82870827,msft
1986-07-01,0.08389,0.08389,0.08389,0.08389,63234462,msft
1986-07-02,0.08389,0.08389,0.08389,0.08389,69933024,msft
1986-07-03,0.08389,0.08389,0.08389,0.08389,18794263,msft
1986-07-07,0.08389,0.08389,0.07533,0.07533,18679429,msft
1986-07-08,0.07533,0.07533,0.07533,0.07533,18947373,msft
1986-07-09,0.07533,0.07533,0.07533,0.07533,61320587,msft
1986-07-10,0.07533,0.07533,0.0672,0.0672,62315801,msft
1986-07-11,0.0672,0.07533,0.0672,0.07533,23119625,msft
1986-07-14,0.0672,0.07533,0.0672,0.07533,38009578,msft
1986-07-15,0.07533,0.07533,0.0672,0.07533,17531106,msft
1986-07-16,0.07533,0.07533,0.07533,0.07533,12440194,msft
1986-07-17,0.07533,0.07533,0.07533,0.07533,9224882,msft
1986-07-18,0.07533,0.07533,0.07533,0.07533,16382779,msft
1986-07-21,0.07533,0.07533,0.07533,0.07533,4669858,msft
1986-07-22,0.07533,0.08389,0.07533,0.08389,13971296,msft
1986-07-23,0.08389,0.08389,0.07533,0.07533,27636369,msft
1986-07-24,0.08389,0.08389,0.08389,0.08389,18794263,msft
1986-07-25,0.08389,0.08389,0.08389,0.08389,27177038,msft
1986-07-28,0.08389,0.08389,0.08389,0.08389,15693783,msft
1986-07-29,0.08389,0.08389,0.07533,0.07533,18679429,msft
1986-07-30,0.07533,0.07533,0.07533,0.07533,35100488,msft
1986-07-31,0.07533,0.07533,0.07533,0.07533,20784694,msft
1986-08-01,0.07533,0.07533,0.07533,0.07533,17148327,msft
1986-08-04,0.07533,0.07533,0.07533,0.07533,16535890,msft
