date,open,high,low,close,volume,Ticket
1977-03-04,1.1334,1.1334,1.1008,1.1008,889666,pep
1977-03-07,1.1008,1.1008,1.0514,1.0514,2226364,pep
1977-03-08,1.0514,1.0597,1.0349,1.0349,2465214,pep
1977-03-09,1.0349,1.0431,0.9939,0.9939,1108798,pep
1977-03-10,0.9939,1.0349,0.9939,1.0349,2927582,pep
1977-03-11,1.0431,1.0675,1.0431,1.0675,760382,pep
1977-03-14,1.0675,1.0845,1.0597,1.0762,712171,pep
1977-03-15,1.0762,1.0762,1.0675,1.0675,692454,pep
1977-03-16,1.0675,1.0675,1.0675,1.0675,447026,pep
1977-03-17,1.0675,1.0762,1.0675,1.0675,1062780,pep
1977-03-18,1.0675,1.0762,1.0675,1.0675,479894,pep
1977-03-21,1.0675,1.0675,1.0597,1.0597,223514,pep
1977-03-22,1.0597,1.0597,1.0597,1.0597,273913,pep
1977-03-23,1.0597,1.0675,1.0597,1.0597,635480,pep
1977-03-24,1.0597,1.0597,1.0431,1.0514,771336,pep
1977-03-25,1.0514,1.0597,1.0431,1.0514,600417,pep
1977-03-28,1.0514,1.0597,1.0514,1.0597,357183,pep
1977-03-29,1.0597,1.0675,1.0597,1.0597,122711,pep
1977-03-30,1.0597,1.0675,1.0514,1.0514,284869,pep
1977-03-31,1.0514,1.0514,1.0431,1.0431,245428,pep
1977-04-01,1.0514,1.0597,1.0514,1.0514,712171,pep
1977-04-04,1.0514,1.0514,1.0431,1.0431,359377,pep
1977-04-05,1.0431,1.0514,1.0431,1.0431,411966,pep
1977-04-06,1.0431,1.0514,1.0431,1.0431,460173,pep
1977-04-07,1.0514,1.0597,1.0514,1.0597,262955,pep
1977-04-11,1.0597,1.0762,1.0597,1.0675,747234,pep
1977-04-12,1.0675,1.0924,1.0597,1.0845,504001,pep
1977-04-13,1.0762,1.0762,1.0597,1.0762,606991,pep
1977-04-14,1.0924,1.1008,1.0924,1.0924,799826,pep
1977-04-15,1.0924,1.0924,1.0845,1.0845,416348,pep
1977-04-18,1.0845,1.0845,1.0762,1.0762,273913,pep
1977-04-19,1.0762,1.0762,1.0675,1.0762,256381,pep
1977-04-20,1.0762,1.0845,1.0675,1.0845,335268,pep
1977-04-21,1.0845,1.0845,1.0675,1.0675,1038678,pep
1977-04-22,1.0675,1.0675,1.0597,1.0597,620139,pep
1977-04-25,1.0597,1.0597,1.0431,1.0431,464554,pep
1977-04-26,1.0431,1.0597,1.0349,1.0349,666154,pep
1977-04-27,1.0268,1.0268,1.0186,1.0186,1542674,pep
1977-04-28,1.0186,1.0349,1.0186,1.0268,427306,pep
1977-04-29,1.0268,1.0268,1.0186,1.0268,392241,pep
1977-05-02,1.0268,1.0431,1.0268,1.0349,300211,pep
1977-05-03,1.0431,1.0514,1.0431,1.0514,455792,pep
1977-05-04,1.0514,1.0675,1.0431,1.0514,1376137,pep
1977-05-05,1.0514,1.0514,1.0431,1.0514,593844,pep
1977-05-06,1.0514,1.0597,1.0514,1.0514,409776,pep
1977-05-09,1.0514,1.0597,1.0514,1.0597,201601,pep
1977-05-10,1.0675,1.0924,1.0675,1.0762,795438,pep
1977-05-11,1.0762,1.0762,1.0675,1.0675,179683,pep
1977-05-12,1.0675,1.0675,1.0597,1.0675,256381,pep
1977-05-13,1.0675,1.0762,1.0675,1.0675,462364,pep
1977-05-16,1.0675,1.0675,1.0597,1.0597,569737,pep
1977-05-17,1.0597,1.0675,1.0431,1.0431,2603267,pep
1977-05-18,1.0431,1.0514,1.0349,1.0349,720936,pep
1977-05-19,1.0349,1.0431,1.0349,1.0431,613561,pep
1977-05-20,1.0349,1.0349,1.0268,1.0268,703409,pep
1977-05-23,1.0268,1.0268,1.0106,1.0186,545636,pep
1977-05-24,1.0186,1.0186,1.0106,1.0186,869947,pep
1977-05-25,1.0186,1.0268,1.0186,1.0186,635480,pep
1977-05-26,1.0186,1.0268,1.0106,1.0186,633285,pep
1977-05-27,1.0186,1.0268,1.0106,1.0106,203791,pep
1977-05-31,1.0106,1.0106,0.9775,0.9939,2419197,pep
1977-06-01,0.9939,1.0268,0.9858,1.0268,786679,pep
1977-06-02,1.0349,1.0597,1.0349,1.0597,1279720,pep
1977-06-03,1.0597,1.0762,1.0431,1.0675,1433110,pep
1977-06-06,1.0675,1.0845,1.0597,1.0597,957598,pep
1977-06-07,1.0597,1.0597,1.0349,1.0514,2710640,pep
1977-06-08,1.0514,1.0675,1.0431,1.0597,2566013,pep
1977-06-09,1.0597,1.0597,1.0349,1.0431,5688618,pep
1977-06-10,1.0431,1.0514,1.0431,1.0514,2353461,pep
1977-06-13,1.0514,1.0514,1.0431,1.0514,815166,pep
1977-06-14,1.0514,1.0675,1.0431,1.0675,2160623,pep
1977-06-15,1.0675,1.0675,1.0597,1.0597,2127755,pep
1977-06-16,1.0597,1.0597,1.0431,1.0597,2292101,pep
1977-06-17,1.0349,1.0349,1.0186,1.0268,951023,pep
1977-06-20,1.0186,1.0186,1.0106,1.0186,578502,pep
1977-06-21,1.0186,1.0268,1.0106,1.0106,2180346,pep
1977-06-22,1.0106,1.0268,1.0106,1.0268,2059821,pep
1977-06-23,1.0186,1.0186,1.0106,1.0186,1216172,pep
1977-06-24,1.0186,1.0186,1.0106,1.0186,1840690,pep
1977-06-27,1.0186,1.0186,1.0106,1.0186,712171,pep
1977-06-28,1.0186,1.0186,0.9939,0.9939,534679,pep
1977-06-29,0.9939,0.9939,0.9858,0.9939,1630327,pep
1977-06-30,0.9939,0.9939,0.9858,0.9939,1487894,pep
1977-07-01,0.9939,0.9939,0.9858,0.9939,1047440,pep
1977-07-05,1.0021,1.0106,1.0021,1.0106,1877944,pep
1977-07-06,1.0106,1.0106,1.0021,1.0106,1306015,pep
1977-07-07,1.0106,1.0186,1.0106,1.0186,1494469,pep
1977-07-08,1.0186,1.0431,1.0186,1.0349,2274572,pep
1977-07-11,1.0349,1.0349,1.0268,1.0349,1393665,pep
1977-07-12,1.0349,1.0431,1.0268,1.0268,2923196,pep
1977-07-13,1.0268,1.0431,1.0268,1.0349,2761043,pep
1977-07-15,1.0431,1.0597,1.0431,1.0597,5046564,pep
1977-07-18,1.0597,1.0924,1.0597,1.0845,3425002,pep
1977-07-19,1.0924,1.1008,1.0924,1.1008,3433769,pep
1977-07-20,1.1008,1.1255,1.0924,1.0924,4544762,pep
1977-07-21,1.0924,1.1087,1.0924,1.1008,4181003,pep
1977-07-22,1.1008,1.1008,1.0924,1.1008,2173769,pep
1977-07-25,1.1008,1.1087,1.0924,1.1087,1093457,pep
1977-07-26,1.1087,1.1087,1.1008,1.1087,1647859,pep
1977-07-27,1.1087,1.1087,1.0924,1.0924,663965,pep
1977-07-28,1.0845,1.0845,1.0675,1.0762,3655090,pep
1977-07-29,1.0762,1.0762,1.0597,1.0762,2890325,pep
1977-08-01,1.0762,1.0762,1.0597,1.0675,1737702,pep
1977-08-02,1.0675,1.0762,1.0597,1.0675,1249043,pep
1977-08-03,1.0675,1.0924,1.0597,1.0845,2530952,pep
1977-08-04,1.0845,1.0924,1.0845,1.0924,1757424,pep
1977-08-05,1.1087,1.1255,1.1087,1.1172,2616413,pep
1977-08-08,1.1172,1.1255,1.1087,1.1172,639860,pep
1977-08-09,1.1172,1.1255,1.1087,1.1255,1159201,pep
1977-08-10,1.1255,1.1334,1.1172,1.1255,793252,pep
1977-08-11,1.1255,1.1417,1.1255,1.1255,1845076,pep
1977-08-12,1.1255,1.1334,1.1172,1.1255,815166,pep
1977-08-15,1.1255,1.1417,1.0924,1.1417,718749,pep
1977-08-16,1.1417,1.1417,1.1255,1.1255,913772,pep
1977-08-17,1.1255,1.1334,1.1087,1.1255,4283995,pep
1977-08-18,1.1255,1.1417,1.1172,1.1255,887480,pep
1977-08-19,1.1255,1.1417,1.1255,1.1417,1027724,pep
1977-08-22,1.1417,1.1746,1.1334,1.1584,4347544,pep
1977-08-23,1.1746,1.1909,1.1746,1.1831,3131367,pep
1977-08-24,1.1746,1.1746,1.1584,1.1584,1610603,pep
1977-08-25,1.1584,1.1584,1.1499,1.1499,1536102,pep
1977-08-26,1.1499,1.1584,1.1417,1.1499,2579165,pep
1977-08-29,1.1499,1.1499,1.1334,1.1417,2366608,pep
1977-08-30,1.1417,1.1417,1.1087,1.1087,1492276,pep
1977-08-31,1.1087,1.1172,1.1087,1.1172,1461597,pep
1977-09-01,1.1172,1.1417,1.1087,1.1334,2298675,pep
1977-09-02,1.1334,1.1334,1.1172,1.1255,1354223,pep
1977-09-06,1.1255,1.1334,1.1172,1.1255,1369564,pep
1977-09-07,1.1255,1.1255,1.1172,1.1255,1498850,pep
1977-09-08,1.1255,1.1334,1.1255,1.1255,718749,pep
1977-09-09,1.1255,1.1334,1.1172,1.1255,1621563,pep
